"","name","shares","coord.shares","account.avg.subscriberCount","account.platform","account.name","account.platformId","name.changed","account.handle","handle.changed","account.verified","pageAdminTopCountry.changed","account.pageAdminTopCountry","account.accountType","account.pageCreatedDate","account.pageDescription","account.pageDescription.changed","account.pageCategory","account.pageCategory.changed","degree","component","cluster","strength"
"2191","https://www.facebook.com/2304544996447049",66,56,265,"Facebook","Polling.GOP","100068905462475",FALSE,"polling.gop",FALSE,FALSE,FALSE,"US","facebook_page","2018-10-22 16:49:23","Interest",FALSE,"ACTIVITY_GENERAL",FALSE,11,138,148,445
"2192","https://www.facebook.com/338239286514369",67,54,476,"Facebook","True Daily","100063863981321",FALSE,"TrueDailyNews",FALSE,FALSE,FALSE,"NA","facebook_page","2016-09-15 19:51:18","Because You Deserve to Know",FALSE,"MEDIA_NEWS_COMPANY",FALSE,11,138,148,434
"2193","https://www.facebook.com/982715655214846",65,21,899,"Facebook","1600 Daily","100049169697103",FALSE,"1600Daily",FALSE,FALSE,FALSE,"NA","facebook_page","2018-01-24 15:08:02","Covering the Hottest News From the White House. We are not affiliated with the White House or the Tr",FALSE,"MEDIA_NEWS_COMPANY",FALSE,11,138,148,134
"2194","https://www.facebook.com/106729917871222",66,54,54,"Facebook","Your America","100063555942292",FALSE,"YourAmerica",FALSE,FALSE,FALSE,"NA","facebook_page","2020-10-05 16:45:41","Focusing on the news that affects everyday Americans who live and work in the heartland of America.",FALSE,"MEDIA_NEWS_COMPANY",FALSE,11,138,148,430
"2195","https://www.facebook.com/350775845255063",68,54,270,"Facebook","ICYMI News","100063699844569",FALSE,"icyminews",FALSE,FALSE,FALSE,"NA","facebook_page","2016-10-04 20:36:03","The latest news you can't afford to miss",FALSE,"MEDIA_NEWS_COMPANY",FALSE,11,138,148,428
"2196","https://www.facebook.com/956112704484286",36,29,35729,"Facebook","American Update","100064932990150",FALSE,"AmericanUpdate",FALSE,FALSE,FALSE,"US","facebook_page","2016-04-14 15:25:42","Social, Culture, & Entertainment News",FALSE,"LOCAL",FALSE,11,138,148,235
"2197","https://www.facebook.com/1750471095167410",43,34,149076,"Facebook","Trump Train News","100068869388763",FALSE,"TrumpTrainNews",FALSE,FALSE,FALSE,"US","facebook_page","2016-04-14 18:41:33","The latest breaking news about President Donald Trump",FALSE,"POLITICAL_ORGANIZATION",FALSE,11,138,148,289
"2198","https://www.instagram.com/transition_news/",15,13,3258,"Instagram","Transition News","41152547528",FALSE,"transition_news",FALSE,FALSE,FALSE,"NA",NA,NA,"NA",FALSE,"NA",FALSE,1,139,149,13
"2199","https://www.facebook.com/100385465060090",14,13,4361,"Facebook","Corona-Transition","100063606667376",FALSE,"CoronaTransition",FALSE,FALSE,FALSE,"CH","facebook_page","2020-06-14 19:00:48","Nüchtern aber Kritisch. Zum Geschehen des Great Reset und zum globalen Pandemiemanagement ",FALSE,"NEWS_SITE",FALSE,1,139,149,13
"2200","https://www.facebook.com/groups/321793851493387",12,10,3814,"Facebook","Friends Who Like Diamond And Silk","321793851493387",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,2,140,150,8
"2201","https://www.facebook.com/groups/400805503408191",9,8,256,"Facebook","Americans United To Save The Republic","400805503408191",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,140,150,4
"2202","https://www.facebook.com/groups/585622448657240",7,7,395,"Facebook","Let's Make America Great","585622448657240",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,1,140,150,4
"2203","https://www.facebook.com/124538510989702",29,5,1797806,"Facebook","2nd Amendment","124538510989702",FALSE,"2ndAmendmentSupporters",FALSE,FALSE,FALSE,"US","facebook_page","2011-11-15 21:24:21","BearingArms.com delivers hard-hitting Second Amendment news, commentary, and analysis, and is dedicated to fighting back against the Left's gun control agenda.",FALSE,"ACTIVITY_GENERAL",FALSE,18,111,121,72
"2204","https://www.facebook.com/237321253519358",26,5,778,"Facebook","Townhall's Triggered Podcast","237321253519358",FALSE,"TriggeredTHM",FALSE,FALSE,FALSE,"US","facebook_page","2018-06-15 19:07:23","Storm and Matt of Townhall offer the hottest takes on politics and weird news, sports, and hot-button topics.",FALSE,"PODCAST",FALSE,18,111,121,72
"2205","https://www.facebook.com/972078082906556",20,7,73464,"Facebook","Jestem z Polski","972078082906556",FALSE,"JestemzPolski2022",FALSE,FALSE,FALSE,"PL","facebook_page","2016-04-09 10:53:32","Strona o Polsce i Polakach. Jesteśmy dumni z naszego kraju i naszych rodaków!
",FALSE,"COMMUNITY",FALSE,1,3,3,4
"2206","https://www.facebook.com/265712820259319",20,10,120337,"Facebook","To Fakty","265712820259319",FALSE,"tofakty",FALSE,FALSE,FALSE,"PL","facebook_page","2014-02-12 16:08:04","Informujemy, komentujemy, bawimy ;-)",FALSE,"COMMUNITY",FALSE,2,3,3,10
"2207","https://www.facebook.com/268221337313",8,6,30475,"Facebook","Moja izba, Môj bordel ;)","100064651845562",FALSE,"Moja.izba.moj.bordel",FALSE,FALSE,FALSE,"CZ","facebook_page","2010-01-25 20:54:07","Vzájemné sdílení pouze nad 10.000 fans !! ",FALSE,"ACTIVITY_GENERAL",FALSE,5,126,136,29
"2208","https://www.facebook.com/190261036298",12,12,30485,"Facebook","!!!Stačí jeden moment  → a zase se vrátí staré city...:-( !!!","100064690180777",FALSE,"",FALSE,FALSE,FALSE,"CZ","facebook_page","2009-12-05 19:25:15","Nonprofit organization",FALSE,"NON_PROFIT",FALSE,55,126,136,239
"2209","https://www.facebook.com/96645751153",10,10,44262,"Facebook","Zvykol som si mať v piči","100064673834506",FALSE,"matvsetkovpici",FALSE,FALSE,FALSE,"CZ","facebook_page","2009-04-13 10:44:47","Jednoducho som si na to zvykol/zvykla a takto mi to vyhovuje.",FALSE,"ACTIVITY_GENERAL",FALSE,5,126,136,39
"2210","https://www.facebook.com/407828255921164",8,8,42187,"Facebook","Dámská Liga","100063733715519",FALSE,"DamskaLiga",FALSE,FALSE,FALSE,"CZ","facebook_page","2012-07-18 09:13:19","Vážně, nevážně - o ženách a všem, co k nám bezprostředně patří! :) Přidejte se k nám",FALSE,"MAGAZINE",FALSE,5,126,136,37
"2211","https://www.facebook.com/371714679649185",9,8,55982,"Facebook","ProChlapy.cz","100047420521097",FALSE,"ProChlapy.cz",FALSE,FALSE,FALSE,"CZ","facebook_page","2014-09-12 16:29:14","To chceš! To čteš!",FALSE,"BLOGGER",FALSE,5,126,136,37
"2212","https://www.facebook.com/196886557725650",8,7,54856,"Facebook","Pravda o životě","100052769714385",FALSE,"ZivotniPravda",FALSE,FALSE,FALSE,"CZ","facebook_page","2018-02-14 17:43:58","Stránka Pravda o životě je českou a slovenskou komunitní stránkou, která se zaměřuje na du?",FALSE,"HEALTH_SITE",FALSE,5,126,136,33
"2213","https://www.facebook.com/169123479898183",4,4,8254,"Facebook","Ty mi řekneš tvůj názor a já ti řeknu kde tě mám;*","100079030363337",FALSE,"NelibimNezajem",FALSE,FALSE,FALSE,"CZ","facebook_page","2012-11-11 17:57:16","Stránka ''obnovena'': 22.06.2017 :)",FALSE,"COMMUNITY",FALSE,50,126,136,200
"2214","https://www.facebook.com/128864937282757",4,4,60261,"Facebook","Ak žiarli chlapec,Pobozkaj ho.","100021280932431",FALSE,"pobozkajho",FALSE,FALSE,FALSE,"CZ","facebook_page","2013-01-29 12:37:56","Vítame Vás na našej stránke,budeme radi ak nás podporíte vašim LIKE a my sa vás budeme snaž",FALSE,"ACTIVITY_GENERAL",FALSE,50,126,136,200
"2215","https://www.facebook.com/131276153726231",4,4,154490,"Facebook","You mad bro?","131276153726231",FALSE,"umadbro105",FALSE,FALSE,FALSE,"CZ","facebook_page","2013-04-05 14:19:03","06.12 2015
Stránka O vás, Pre vás...

Zašlete nám vaše Obrázky do Správ a my vám to zazdielame aj s popisom :)

Bavte sa a zdieľate ďalej :-)",FALSE,"COMMUNITY",FALSE,50,126,136,200
"2216","https://www.facebook.com/1880182795531184",4,4,35263,"Facebook","Zdieľaj to","1880182795531184",FALSE,"zdielajto.eu",FALSE,FALSE,FALSE,"CZ","facebook_page","2017-04-14 14:54:34","Každý deň prinášame novú porciu zábavy a zaujímavých článkov z celého sveta. Vyberáme len to najlepšie z celého internetu. Lajkni nás a bav sa s nami!",FALSE,"COMMUNITY",FALSE,50,126,136,200
"2217","https://www.facebook.com/1805473729777525",4,4,7174,"Facebook","Označ někoho, kdo?","100064565687550",FALSE,"oznacnekohokdoo",FALSE,FALSE,FALSE,"CZ","facebook_page","2017-02-03 13:39:32","Jediný co sem napíšu je.... Označuj.. :D",FALSE,"COMMUNITY",FALSE,50,126,136,200
"2218","https://www.facebook.com/1229768883721893",4,4,81366,"Facebook","Sranda,Humor,Zábava","100080310434167",FALSE,"srandahumorzabava",FALSE,FALSE,FALSE,"CZ","facebook_page","2016-05-27 01:47:47"," Vítejte v ""Říši Smíchu"".Přidejte se k nám a nebudete litovat.",FALSE,"TOPIC_JUST_FOR_FUN",FALSE,50,126,136,200
